rank,want,price,title,risk,seller,area,publish_date,url
11,2276,1,"【做视频】【什么都可以】要求尽管提！24小时接单！ 【做视频】【什么都可以】要求尽管提！24小时接单！  擅长AI生成视频、ai动画、ai广告、ai科普、ai教学！！非常擅长ai视频制作 欢迎老板砸单！熟练使用AE，PR，AU，达芬奇、动画特效、mg动画、视频特效、粒子动画等各种剪辑软件，啥都可以做，尽管说要求，有问必答！  个人接单7年，技术过硬，认真负责，自己有一个小团队，本人专注做ai视频！剪辑制作！ae特效 ai视频！ai动画、ai特效 都能做！！！视频剪辑在线接单，会pr，AE、达芬奇等，今晚能出！！急单优先！！  点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违归词！！！   平时做的经验多的是：ai视频、纪录片、企业的产品主图视频、宣传片、卡点快剪、，产品介绍、活动快剪、快闪等等也都能做  点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违归词！！！  承接全品类视频制作，包括但不限于：  1、效果包装：合成、抠像、抠图、绿幕、动态图形、转场、文字标题、光影处理、片头片尾 2、平台视频：抖音、快手、视频号、B站、红薯 等主视频，含调色、短画质修复、字幕包装 3、动画制作：二维动画短片、LOGO演绎、产品功能演示、文字动画、数据图表动效、卡通形象 4、成片类：企业宣传片、产品介绍、活动记录（婚礼/年会/庆典）、课程与演讲剪辑、个人Vlog与旅行日常  最拿手的是AI视频、AE特效和影视混剪这块，磨皮抠图、旅游视频、信息流广告、画质修复这些都接。  抖音快手视频号的短视频也没问题  点击“聊一聊”回复 【在】即可，只需要回复 【在】就行了，别说违归词！！！",🟠,伦敦灵芝,吉林,2026-06-18,https://www.goofish.com/item?id=1061003120913
12,2118,6.60,"AI视频制作AI动画微电影企业宣传片制作 ai视频制作，ai动画制作，ai广告宣传片制作， 【AI视频制作生成】高质量视频 AIGC视频制作 AI动画｜AI视频｜全平台AI视频 商业广告｜定制画面｜专业团队 AI 视频不是几分钟生成的，而是反复调参、抽卡、修镜头的过程。从镜头概念设...",🟢,Ai制片人阿奇,福建,2025-11-14,https://www.goofish.com/item?id=995166052768
13,1934,5,"AI视频制作、AIGC视频代做、AI动画 专业AI高清视频动画代做，成片画质拉满，交付稳定靠谱！ 【可承接全部视频类型】  1. 电商产品广告短片  2. 企业品牌宣传短片  3. 短视频剧情短剧  4. 儿童绘本动画  5. 2D卡通、3D立体动画  6. 歌曲音乐MV定制  ...",🟠,鸡肉剪辑ai工作室,浙江,2026-05-30,https://www.goofish.com/item?id=1056447840720
14,1794,5,"ai视频代做ai短剧制作aigc视频剪辑 【全职剪辑·高效出片】 个人长期在线接单，做事利索不拖沓，成片有保障！ 承接内容：AI动画短片、AIGC创意视频、产品宣传、抖音快手短视频、广告片、MG科普动画。 擅长技能：熟练使用剪映/PR/AE及各类AI生成工具，精准还原...",🟠,鸡肉剪辑ai工作室,浙江,2026-04-17,https://www.goofish.com/item?id=1044858053294
15,1564,1,"炫图】炫图AI会员 帮p图 可帮做xuan图一切Vip权益效 果/Ai添加/Ai换装/Ai换背景/消除路人/增加功能…… 一张1r 不砍价 正常几分钟到半小时出图，多张多优惠！！  拍后发图沟通 拍前需知: 1.保护客户隐私，发完即删 2.虚拟产品不退货，请考虑清楚下单！ ...",🔴,巨型火龙果,浙江,2025-03-30,https://www.goofish.com/item?id=904387161787
16,1359,4.90,"抖音文案提取 视频批量下载 同行对标学习 AI知识库搭建 [1]指定博主，视频文案我来扒 你给我博主主页，我把他所有视频的文字稿都给你整理出来！连视频都能帮你批量下载哦！  [2]Word+Excel双版本，超级方便 [钉子] Word版：排版干干净净，手机上直接看，用来学习、模仿、做笔记超...",🔴,鹅毛大雪,湖南,2025-06-17,https://www.goofish.com/item?id=940749442848
17,1312,30,"Python编程bug调试与代写 Java程序bug调试，程序代做，线上排查问题 python项目代做，c++项目代做  不满意不要钱！ 不满意不要钱！！ 不满意不要钱！！！  Java程序bug调试，程序代做，线上排查问题，项目缺陷问题排查，没有解决问题不要钱，不漫天要价...",🟠,程序员月月,江苏,2026-01-09,https://www.goofish.com/item?id=1011597357040
18,1274,134.09,"【全新正品带质保】小米智能音箱Pro 超级小爱 智能音箱  AI大模型问答 蓝牙音箱  先看【评/价】都能懂哦，[红圆]乱拍默认不发哈！！ 真实有效，介意的勿扰哈，[托腮]若打扰请见谅  #智能音响 #MIJIA/米家",🟢,bankasl,陕西,2026-01-07,https://www.goofish.com/item?id=1010097582754
19,1077,1.98,"AI漫剧软件一键导出剪映 AI漫剧软件一站式搞定分镜角色场景生图生视频一键导出到剪映 AI漫剧制作软件分享！ 一站式搞定分镜、角色、场景、生图、生视频，还能一键导出到剪映。 界面清爽，操作简单，插件自由接入，适合做小说转漫剧、短视频创作。 已配多套角色模板，开箱即！...",🟢,一米阳光,北京,2026-04-27,https://www.goofish.com/item?id=1048384984738
20,1003,1.51,"TopazVideoAI永久激活 【TopazVideoAI 7.0.2永久激活｜长期更新】  最新AI视频修复神器，支持Win系统，中文/英文版本任选，M1/M2/M3/M4和Intel芯片全兼容，永久激活，长期免费更新，不限安装数量，功能强大：视频无损修复、模糊清晰修复、视频放大、补帧、分辨率提升、智能AI修复，操作简单，新手也能轻松上手！  虚拟商品，自动发货，拍下秒发下载链接，不用等，直接拍就行～  虚拟商品，售出不退不换，喜欢直接拍，有问题随时私聊！ AI视频修复 TopazVideoAI 自动发货 #网店/网络服务/软件 #视频后期剪辑",🔴,24小时自动发货,河南,2026-05-11,https://www.goofish.com/item?id=1050045554500
21,954,5,"AIGC设计出图快无套路 AIGC设计出图快无套路  资深 aigc 设计！出图快、效果好、无套路～  资深 aigc设计！出图快、效果好、无套路～  MJ/SD 双平台操作，承接 AI 生成、AI 改图，动漫、IP 形象、三视图、产品渲染、实景还原、插画、壁纸头像、电商图、设计稿全品类！风格多样～  对接超简单：你提要求 / 发参考，我来实现～  售后保障：首次不满意免费改 3 次，复杂款单独谈，防白嫖党～  5r 起接，多年经验！小钱办大事，设计不踩坑～",🟢,小诗的设计铺,广东,2026-04-07,https://www.goofish.com/item?id=1041217821650
22,888,10,"视频剪辑制作Ai/Ae宣传片vlog加急 在线承接各类视频剪辑定制，性价比超高、成片质感拉满，24小时全天在线随时对接，最快1小时极速出片！   业务承接全品类 宣传片、专题片、广告片、婚礼MV、电子相册、口播、Vlog剪辑、LED背景视频、年会开场/回顾、爱情/生日纪念视频、MV制作、抖音短视频、AE特效包装、CAD建模渲染、ae动画制作、视频调色、画面修复、卡点混剪、绿幕抠像、 Ai短剧小视频、Ai漫剧等   技术亮点 [火]精准调色、降噪去水印，解决素材模糊、光线不均问题，还原质感 [火]节奏把控到位，音画无缝衔接，字幕精准无误差 [火]多风格适配，从简约高级到活泼吸睛，按需定制不敷衍   服务核心优势  ✅ 专业资深剪辑团队：深耕行业十年，审美高级、风格百搭，一对一专属客服对接，精准吃透你的制作需求。 ✅ 无忧售后保障：初稿不满意直接全额原路退款，零成本试单，全程无套路。 ✅ 流程正规透明：无隐形消费，每一步都清晰可追溯。   标准服务流程   1. 需求沟通：说明视频风格、时长、用途及交付时间 2. 素材提交：发送视频、图片、文案素材，有参考样片更佳 3. 敲定报价：根据制作难度协商定价，价格公开透明 4. 下单安排：确认方案后下单，即可启动制作 5. 定制制作：专业剪辑师量身打磨剪辑与特效 6. 水印预览：发送带水印样片，供你整体审阅 7. 免费修改：支持多次细节调整（常规3次免费精修） 8. 定稿确认：满意后完成验收 9. 高清交付：发送无水印超清原片文件   主页作品均为真实成交案例，可随时翻看，需要看作品剪辑实力可以直接私聊，发样品",🟠,诗意视频制作,湖北,2026-04-22,https://www.goofish.com/item?id=1045411482962
23,873,1,"AI围棋定式大全江伟杰版 AI围棋定式大全 江伟杰最新那套  [火]关注粉丝价0.5元 包含：sgf+精心重排pdf+multigo  1.有sgf格式的棋谱版，3600个变化图，非常方便打开学习  2.还有精心重排的pdf版，如图3、4，3600个变化图，非常方便...",🟢,棋海无涯,黑龙江,2024-03-15,https://www.goofish.com/item?id=774225081106
24,858,4.99,"AIGC视频定制，AI动画制作 标题：🔥AIGC视频定制｜AI动画/宣传片/MV/3D渲染，低成本出大片！  正文： 专业承接各类AI视频制作！商业广告、品牌宣传、原创剧情、儿童动画、3D建模、MV、科普讲解、影视特效统统拿下！🎬  📝 没有脚本？没关系！ 有脚本直接开工；没脚本？帮你整理创意、写分镜、定风格、出方案，一条龙服务！  🎯 我们能做什么？ ✅ 商业广告 / 品牌宣传 / 企业介绍 ✅ 原创剧情 / 抖音小红书短视频定制 ✅ 儿童绘本动画 / 卡通3D建模渲染 ✅ 原创音乐MV / 二次元动漫片段 ✅ 科普讲解 / 影视级特效大片 ✅ 产品展示 / 电商短视频 / AI虚拟人视频  ✨ 为什么选择我们？ 1⃣ 风格百变：写实、二次元、国漫、3D、赛博朋克、古风绘本…你想要的都有！ 2⃣ 超高性价比：免搭景、免演员、免大团队！小预算也能出惊艳效果，极速出片！ 3⃣ 深度定制：根据你的主题、产品、音乐、角色量身打造专属内容。 4⃣ 交付省心：提供脚本、分镜、提示词、首尾帧、成片、封面，全套配齐！ 5⃣ 一对一服务：制作前确认方向，制作中支持修改，主打一个满意为止！  👥 适合谁？ 商家/企业/自媒体博主/短视频运营/音乐人/教育机构/个人IP等。 完美适配：抖音、小红书、B站、视频号、淘宝、企业官网、朋友圈宣传等全平台！  📋 对接请提供（资料越全，效果越精准）： 视频类型（广告/动画/MV/科普/剧情等） 期望时长（6秒/15秒/30秒/1分钟等） 是否有脚本或文案？ 有无参考视频或指定风格？ 是否需要配音/字幕/封面/分镜？ 期望交付时间？  💰 关于价格： 根据视频类型、时长、画面复杂度、角色数量及修改次数综合报价。 支持小预算试做！支持单条定制，更欢迎长期批量合作！  ⚠ 温馨提示：定制类服务，下单前请务必先私信沟通需求，不建议直接拍哦！💬",🟠,AOOI视频设计,广东,2026-06-13,https://www.goofish.com/item?id=1059809308194
25,843,2,"AI视频全品类制作！欢迎下单咨询 AI视频全球可接|可以闭眼选的AI制作公司✅ 预算做不出高级感AI视频？ 觉得沟通麻烦，做出来根本不是自己想要的？ ✨我们的优势，直接解决你的痛： ✅ 1v1专属设计师，从头跟到尾 ✅ 创业党轻松无压力 ✅ 团队24小时在线，你的灵感突发，我们随时接住！ - 业务范围全覆盖： 企业宣传片|产品宣传|TVC广告 AI短剧|动画动漫|数字人定制 短视频全案|纪录片|文旅片 - 我们的合作流程： 1、沟通创意方案 2、方案输出 3、分镜脚本 4、专属定制文案 5、分镜动效制作 6、影视后期的剪辑 7、总监审核监制 8、交付验收 - 想制作AI视频的宝子戳戳我们 获取你的专属视频方案哦！",🟠,即刻映画传媒Ai版,上海,2026-06-17,https://www.goofish.com/item?id=1059853665473
26,837,1,"1000+分镜提示词ai分镜师提示词短视频影视剧本大模型通用 教程附赠AI指令合集  --★24小时佰度、夸克即拍秒发★-- --★24小时佰度、夸克即拍秒发★-- --★24小时佰度、夸克即拍秒发★--  宝贝秒拍秒发，拍下即发全部素材！没有任何额外费用！  ✔提示词内容超全，动作、人物、场景、情感、科幻啥都有，直接套用脚本分镜模板，拍视频、写剧本、绘图都很方便～  ✔包括最新seedance2.0分镜模板，买这一套就够了！超实用！！ 素材A53",🟢,晓云素材,北京,2026-04-19,https://www.goofish.com/item?id=1044385066909
27,751,10,"人工去痕优化服务 【纯人工AI去痕优化服务】 纯人工！纯人工！纯人工！逐句改写，深度弱化AI痕迹，保留原文核心观点和专业内容，原创度提升，语句更自然流畅。 多单零失败，一次过！真实案例可查，经验丰富 课程期末考核、毕业等都可接，也可双降，多平台去痕优化服务 全程文档保密，平台担保交易，安全放心，专业在线，耐心沟通，可接急单 有需要直接私聊，细节可聊～",🟠,kyyomIl,广西,2026-06-07,https://www.goofish.com/item?id=1058553844257
28,670,3999,"AI Agent真实项目收徒 AI Agent落地收徒｜主流智能体工具实战｜客户项目带学｜明远AI  ✅商品详情  低于这个预算的不要咨询，大家时间都很宝贵。 本商品 3999元 / 3个月，不讲价。 初步限额 5名，招满为止。  明远AI这个商品，不是普通 AI 工具课。 我们更关注的是：你能不能真正用 AI Agent 解决实际问题。  所以这套收徒方式，不是从理论讲到理论， 而是：  以真实项目为训练场，以实际交付为目标，以解决问题为核心。  课程会围绕主流 AI Agent 工具展开，结合公司内部项目、客户项目、真实需求案例，带你建立一套 AI Agent 落地方法。  ✅覆盖工具  Pi Agent Workbuddy OpenCode OpenClaw Hermes 其他常见 AI Agent / 工作流 / 自动化工具  工具不是目的，解决问题才是目的。 每个工具都会放到真实场景中去理解，而不是孤立学习。  ✅培养内容  AI Agent 工具体系认知 主流工具安装与基础配置 不同 Agent 工具适用场景判断 客户需求拆解方法 业务流程梳理方法 AI Agent 工作流设计 项目方案设计 真实项目案例复盘 交付文档与使用说明 持续优化与售后思路  ✅三个月学习路径  第1个月：工具认知与基础上手 了解主流 AI Agent 工具，熟悉基础操作，知道不同工具适合什么场景。  第2个月：真实需求拆解 结合客户项目和内部项目，学习如何从业务问题出发，拆成 AI Agent 可执行的流程。  第3个月：项目落地与交付思路 围绕真实项目训练方案设计、搭建、测试、交付和复盘，让你形成自己的 AI 落地方法。  ✅适合人群  想做 AI 落地服务的人 想利用 AI Agent 提升工作效率的人 想进入企业 AI 服务方向的人 想学习真实项目交付的人 想用 AI Agent 搭建数字员工的人 想把 AI 工具变成生产力的人  ✅不适合人群  只想看教程的人 不愿意动手的人 只想低价试试的人 嫌贵的人 希望别人全程代做的人 幻想学完立刻暴富的人  ✅项目合作说明  学成后，公司后续客户项目会优先在学员中沟通合作机会。 表现稳定、能配合、能交付的学员，会优先参与合适项目。  项目合作按具体需求和市场价单独结算。 不承诺一定有项目，不承诺收入，不承诺接单结果，最终以能力、项目需求和双方沟通为准。  ✅服务说明  本商品为 AI Agent落地收徒，不是项目外包，也不是保证接单课程。 项目训练会根据实际情况安排，涉及客户项目时会遵守保密和交付边界。  ✅一句话总结  明远AI带你的不是“工具清单”， 而是一套用 AI Agent 解决真实问题、参与真实项目、形成交付能力的方法。",🟠,明远AI,北京,2026-06-29,https://www.goofish.com/item?id=1062677417697
29,654,3.90,"代生成视频Seedance 2.0 代出视频即梦Seedance 2.0或者fast 视频代生成|随缘  现在速度很慢 很慢！不着急的下单   接单回血 我用自己的会员积分。 默认用全能参考 如果不能接受的不要下单。特别说明 ，如果因为提示词图片问题没有通过审核出不了视频的情况，你可以有两次修改机会，我会帮忙跑跑，如果第三次还是没有成功，还想继续的话需要收费的！不接受不要下单噢！时间成本也是成本！！！ 动态壁纸/短视频动效/简单剧情动画都可以做。 不要违法律的提示词和图片，出现不合规的提示词不退！！! 不搞工作室那套。 不靠这个赚钱。4-15秒视频就是标价 流程 4-15秒无论多少秒都是标价，生成好直接发，需要 提供图片跟提示词，什么@什么请在自己的即梦调整 给予截图。 不接受15秒视频给出一大段文案朗读 提醒 AI本身有随机性，细节无法保证百分百完美。 开始生成默认接受，标价为一次价格，多次修改按次数结算，先支付 标价默认用四折账号seedance2.0fast或者2.0一并发出（具体用哪个，看当时情况），效果和Vip一样，时间会比Svip慢很多，排上的情况大概两到五个小时左右（慢的情况 ）快的时候发出大概十分钟左右，这个不能把握  ！！！如果着急请点聊一聊，走VIP快速通道 标",🟠,小猫哪有什么坏心思,四川,2026-05-08,https://www.goofish.com/item?id=1049943689812
30,636,2.99,"Kimi AI生成PPT服务 Kimi 3.0超强大模型，职场牛马最佳工具 Kimi高级ai 顶级ai生成ppt  按次付费 操作流程  1.拍单（1次=1份ppt，多份请拍多件）  2.发ppt主题、大纲或文字附件  3.智能自动排版（拍两份）/经典排版 二选一  4.30分钟内极速发货，提供可编辑ppt文件  购前须知 AI一次性生成 不含人工修改 质量与提示词相关 本人不保证最终质量 虚拟商品一旦生成 不退不换 有问题请提前沟通 文案和提示词要清楚  【不借号，你发材料，我帮你做】",🟠,瓜达拉哈拉耶,广东,2026-05-17,https://www.goofish.com/item?id=1051394294013
31,613,1,"ai生图 每张低至4分钱 提供网站生图，无需梯子，支持api调用  手机/电脑打开网页即可操作，方便简单 没图片返回不扣费  可充值任意金额（最低1元），一年有效。 明码实价，没有套路  严禁利用本平台生成或传播违法违规内容，一经发现会封号处理",🟢,小猫Ai,福建,2026-06-07,https://www.goofish.com/item?id=1057566397542
32,609,1,"废才俱乐部AI分镜师提示词 废才俱乐部 Claude Skills， AI分镜师 标价就是卖价。  不提供任何教学，请自己根据教程使用。  自动网盘发货，不用问在不在。",🟢,芒果小新,上海,2026-01-12,https://www.goofish.com/item?id=1013565032769
33,603,11.60,"小满OKKI Leads 【海关数据】 小满OKKI Leads AI专业版账号 海关数据、智能获客、推荐广场、搜索引擎、地图获客、展会数据、社媒数据全都有，功能很全，操作简单，适合外贸、跨境电商、市场调研用。 账号直接用，省心省力，支持全球200+国家地区，数据实时更新。7天12元，30天36元，限时优惠！ 有需要直接拍，细节私聊～",🔴,Zack,河北,2026-05-21,https://www.goofish.com/item?id=1051672219745
34,540,69,"小米AI音箱二代。L15A正常使用。裸机出售 感兴趣的话点“我想要”和我私聊吧～",🟢,没有好脾气,广东,2025-10-25,https://www.goofish.com/item?id=988711706679
35,506,10,"Ai缝合术 Ai缝合术，2026年最新即插即用模块汇总，绝对全网最新，即插即用代码模块，百度网盘持续更新，原价49.9元  PDF电子版，百度网盘发货，喜欢可以拍下，2026年最新即插即用模块汇总+12.9元超级福利(235个精选即插即用模块)  [钉子][钉子][钉子]注意:我们是包更新的([火]实时更新[火])，本人一手货源，可截图购买证明。  由于电子文档的可复制，一经拍下概不退换，介意慎拍哦",🟢,夏雨听风,吉林,2025-05-31,https://www.goofish.com/item?id=931904407800
36,496,19.89,"QQai聊天代部署 astrbot QQai聊天搭建 新版qq不掉线[new] ai聊天可接入deepseek/gemini/同义千问/文心一言/星火/智谱清言/等模型 自备qq小号 自备服务器或电脑 代部署 astrbot napcat/snow nonebot 个人化qq机器人 可帮添加免费api 支持Linux、windows双平台，功能齐全，支持插件扩展。 按次计费，具体需求可聊。 如需购买服务器 用我链接可减10r 阿里云新用户68r/年",🟠,紫月猫猫,湖北,2025-10-25,https://www.goofish.com/item?id=988610218661
37,466,1.99,"DRX AI Rro 2026 ps插件 PS一键 AI 质感磨皮插件 PSAI插件 【AI 一健修图磨皮瘦脸，美白五官修饰】 AI修图正在改变摄影行业，2025最新AI商业人像修图插件，直接起飞！ 大师级AI一键磨皮瘦脸证件照PS插件，实现人像智能修图，批处理，效果与便捷性远超DR5/DR Max等旧版插件！ 比 DR5 精准 N 倍！比 RT4 快到飞起！  做商业人像修图最费时间的就是磨皮 + 批量处理，一个宝藏插件AI一键修图，直接把修图效率拉满，已经有很多摄影师都在偷偷用了 它真的把智能修图玩明白了 1、多面孔识别绝了！全景图里的小人脸都能精准捕捉，再也不用挨个手动修 2、一键批量操作 yyds！影楼婚纱图、电商模特图批量处理，省出半天摸鱼时间 3、质感磨皮不翻车！祛除瑕疵还留原生毛孔，告别塑料假脸，商业精修质感直接拉满 4、全功能整合：磨皮 + 瘦脸 + 肤色校正 + 牙齿美白 + 妆容模板，证件照，滤镜等套用新手也能秒变修图大神，不用调复杂参数，一键出片！  强大功能： AI驱动，一键祛斑祛痘、瘦脸、精修证件照，实现商业级高保真磨皮。 高效便捷： 支持自动批量处理，非特写全景照片也能精准识别多面孔，大幅提升修图效率。 专业升级： 作为DR5的综合升级版，集成30+修图功能（磨皮/美白/塑形等），操作直观，效果出众。  ✅一次购买永久使用，性价比拉满  ✅24h 百度+夸克双盘自动发货，拍下秒拍  ✅ 支持： Win/Mac系统 | PS 2015-2026 |   不管是影楼后期、美妆博主、电商运营，还是摄影爱好者有批量修图、质感精修需求的都可以冲！从此告别熬夜修图，早早下班，升职加薪，走向人生巅峰！",🟢,软件大师,湖北,2026-05-28,https://www.goofish.com/item?id=1055947816588
38,446,1,"书法笔触字体设计古风毛笔ps毛笔字笔刷AI矢量墨迹 书法笔触字体设计古风毛笔ps毛笔字笔刷AI矢量墨迹 [火]24小时自动发货，直接拍，需要的朋友点下方的‘我想要’，标价就是卖价，网盘链接发货，有货[火]",🟢,小祥素材,上海,2025-05-13,https://www.goofish.com/item?id=922343935097
